epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1245.91,1.40846,4.08313,1.19885,0.17313,0.13067,0.04065,0.02663,1.318,3.65413,1.10549,0.00015109,0.00015109,0.00015109
2,2437.25,1.40872,3.18463,1.18741,0.18646,0.15046,0.04868,0.03133,1.32669,3.35458,1.12188,0.000299759,0.000299759,0.000299759
3,3627.36,1.38806,2.94843,1.18792,0.19877,0.1816,0.05949,0.03824,1.31681,3.44846,1.12797,0.000445426,0.000445426,0.000445426
4,4798.66,1.39088,2.81155,1.18209,0.28708,0.16631,0.0831,0.05439,1.31274,3.18959,1.11447,0.000441486,0.000441486,0.000441486
5,5982.16,1.38485,2.68914,1.18958,0.2812,0.18845,0.10345,0.06949,1.24701,3.12491,1.10384,0.000436982,0.000436982,0.000436982
6,7134.33,1.34483,2.57116,1.16385,0.23092,0.19011,0.11372,0.0768,1.26285,2.80577,1.1025,0.000432478,0.000432478,0.000432478
7,8284.95,1.33811,2.46624,1.16348,0.28332,0.21837,0.13419,0.09211,1.24261,2.57846,1.09421,0.000427973,0.000427973,0.000427973
8,9434.78,1.32824,2.38149,1.1543,0.27085,0.19045,0.12882,0.08833,1.22604,2.61414,1.08841,0.000423468,0.000423468,0.000423468
9,10551.6,1.29133,2.31033,1.14629,0.28217,0.21913,0.14123,0.09827,1.23093,2.60967,1.08704,0.000418964,0.000418964,0.000418964
10,11626.8,1.27191,2.18783,1.12486,0.28371,0.22393,0.14711,0.10428,1.20947,2.53005,1.07904,0.00041446,0.00041446,0.00041446
11,12704.4,1.27949,2.16304,1.12628,0.26871,0.20453,0.14715,0.10332,1.23637,2.46338,1.097,0.000409955,0.000409955,0.000409955
12,13781.7,1.27053,2.10075,1.12417,0.33781,0.21232,0.16413,0.11671,1.17012,2.44577,1.07098,0.000405451,0.000405451,0.000405451
13,14862.6,1.24079,2.0161,1.12285,0.32503,0.21511,0.15985,0.11325,1.18193,2.39646,1.07414,0.000400946,0.000400946,0.000400946
14,15934.9,1.23359,1.99538,1.11068,0.32192,0.2337,0.16486,0.11746,1.2138,2.35216,1.08175,0.000396441,0.000396441,0.000396441
15,17001.9,1.22816,1.92012,1.10493,0.32502,0.22637,0.17435,0.12326,1.19304,2.35756,1.08683,0.000391937,0.000391937,0.000391937
16,18067.7,1.23002,1.8949,1.10615,0.35824,0.20967,0.18181,0.13185,1.16534,2.30759,1.06847,0.000387433,0.000387433,0.000387433
17,20530.6,1.2114,1.84827,1.09115,0.35586,0.20514,0.17211,0.12485,1.17468,2.40151,1.06361,0.000382928,0.000382928,0.000382928
18,21935.1,1.20226,1.79543,1.08579,0.43331,0.2107,0.1921,0.13805,1.18691,2.29779,1.06355,0.000378423,0.000378423,0.000378423
19,22992.8,1.19153,1.75237,1.08945,0.36412,0.24398,0.20261,0.14467,1.16634,2.27226,1.07085,0.000373919,0.000373919,0.000373919
20,24027.7,1.1765,1.66783,1.07416,0.36315,0.24181,0.21081,0.15157,1.1628,2.20548,1.05879,0.000369415,0.000369415,0.000369415
